Contract Name,Contract Address,Gas Used,Fee (Wei),Fee (ETH),Chain,Chain ID,Deployment Name,Deployed At
UnpermissionedActionsWrapper,0x7C42E6B756eac6A76324F3C54243B84EA04F2ffC,411127,411127000000,0.000000411127,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:20:05.292Z
BalancerV2GaugeTokenPriceFeed,0xB9166094375e7B0742D10Adea0E425CF248Ce553,203441,203441000000,0.000000203441,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:20:28.520Z
BalancerV2StablePoolPriceFeed,0xdCB69133e08C00317D0486A28BfFd6Df7c9A37d0,1226255,1226255000000,0.000001226255,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:20:39.086Z
AaveV3FlashLoanAssetManagerLib,0x6470e973D5B4dB9eb460EB697D872EbD5442fcA2,1172645,1172645000000,0.000001172645,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:20:53.784Z
ProtocolFeeReserveLib,0xAC61f15efD4d76E1e30f527024cB77cE4cC0D86E,480224,480224000000,0.000000480224,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:21:04.290Z
ProtocolFeeReserveProxy,0xE1DAFE241A9015b872a242A044B4026001FaB061,137178,137178000000,0.000000137178,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:21:40.069Z
VaultLib,0x1AB1f7Dd8122c878926cb1a5E61B2c8c192637E2,4256040,4256040000000,0.00000425604,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:21:51.241Z
EntranceRateBurnFee,0xD72B4126f2D616e79AB1894f0C6417538e42fb79,555782,555782000000,0.000000555782,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:22:26.916Z
ExitRateDirectFee,0x8633b90A670795Ec13846cee91Bb7049275E4953,728605,728605000000,0.000000728605,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:22:41.841Z
AllowedExternalPositionTypesPolicy,0xdB1aff13210429920c2f061ae32b34245Bf5d6F4,716664,716664000000,0.000000716664,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:23:13.466Z
NoDepegOnRedeemSharesForSpecificAssetsPolicy,0xb24a180dd3F6d23A3EBC1e6A0B86fbbc859c6153,990870,990870000000,0.00000099087,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:23:49.342Z
MinSharesSupplyFee,0x60dAf0eF0E44a1544EA6f4f2d3Ec0FDEf4dB28d2,389867,389870508803,0.000000389870508803,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:24:04.254Z
AllowedAdaptersPolicy,0x479BC76BeF59AB88198A33a64575433E924D8282,1093749,1093758843741,0.000001093758843741,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:24:14.758Z
EntranceRateDirectFee,0x925C50b3dD4db5EBD3fE9ca688D8E02b37Fe249B,683224,683224000000,0.000000683224,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:24:37.871Z
AllowedAdapterIncomingAssetsPolicy,0xeeAE30265E417aD68A073be2b217DDf886323560,1125451,1125461129059,0.000001125461129059,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:24:52.903Z
ManagementFee,0x122F5142875A69520b6801Ec05058f5340768275,969908,969916729172,0.000000969916729172,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:25:03.371Z
AllowedAdaptersPerManagerPolicy,0xee2F980fec1C96108E19d4435Da14F6b9Ba6551B,1255665,1255676300985,0.000001255676300985,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:25:13.930Z
AllowedAssetsForRedemptionPolicy,0x61f6C67adc8dcDd031869493A5E76eb774e20404,1102782,1102791925038,0.000001102791925038,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:25:37.071Z
MinMaxInvestmentPolicy,0x65AaBF9c7379B4792CA5612D5B127a102941045f,595380,595385358420,0.00000059538535842,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:25:52.369Z
ExitRateBurnFee,0xB896223b0BcDDEb231FDD7F6C97CCF8d35C876E1,597719,597724379471,0.000000597724379471,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:26:03.004Z
PerformanceFee,0xB28A2540b1aBA4e1C189d2c06f5De14DAa775f31,1053742,1053751483678,0.000001053751483678,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:26:13.564Z
AllowedSharesTransferRecipientsPolicy,0x1E22A453D1639e162bD343B6c4AAF4BB42a10137,995365,995373958285,0.000000995373958285,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:26:28.148Z
AllowedDepositRecipientsPolicy,0xEC00Cf2A06ba14DD0Efeb789877309EADC49e50B,998097,998105982873,0.000000998105982873,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:26:38.749Z
AllowedExternalPositionTypesPerManagerPolicy,0xe63B0Ef2445061Ad209E03dA9150B64ce8711B3E,1432184,1432196889656,0.000001432196889656,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:27:01.923Z
DisallowedAdapterIncomingAssetsPolicy,0x61981A95AB4116DA18c6C995174cE5526b882B74,1181106,1181116629954,0.000001181116629954,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:27:16.596Z
MinAssetBalancesPostRedemptionPolicy,0x277DC86682EF8dCBc8bd4dEaAcACaC58D37f96fA,664086,664091976774,0.000000664091976774,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:27:27.205Z
AllowedRedeemersForSpecificAssetsPolicy,0x2514fb8C56C7dae1476080337C0D9d905d9cAf4D,1110300,1110309992700,0.0000011103099927,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:27:37.781Z
OnlyUntrackDustOrPricelessAssetsPolicy,0x5Dc4133213e7E557c558e8744528B4dCE43900EE,963545,963553671905,0.000000963553671905,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:27:52.426Z
CumulativeSlippageTolerancePolicy,0xc5eC38A21A364d7d5F26021CaEFD680e57f808d2,1465388,1465401188492,0.000001465401188492,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:28:03.403Z
OnlyRemoveDustExternalPositionPolicy,0x8e163D4BA6e0c1B425d463A4E78FE687AB348f10,1092194,1092203829746,0.000001092203829746,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:28:13.821Z
OneInchV5Adapter,0x06fD5eC517497ecf98Be85886050A90e796BdD47,1853260,1853276679340,0.00000185327667934,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:28:28.530Z
ManualValueOracleLib,0x2A6DFCA0331c48f725e4c794373ac3541dd5c9E5,415134,415137736206,0.000000415137736206,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:28:38.964Z
ManualValueOracleFactory,0xd07933217494536379dca558bC1d06eF99d5EC00,717676,717682459084,0.000000717682459084,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:28:49.457Z
TransferAssetsAdapter,0x4F7368cba265412B15c31fb410F37308d3BCA197,938309,938317444781,0.000000938317444781,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:29:04.120Z
DispatcherOwnedBeaconFactory,0x594b9848Eb4D2ad0C7305e2EE258f5B52788763f,767417,767423906753,0.000000767423906753,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:29:14.581Z
DepositWrapper,0x27eeF9A09F4447e9A644e67fD7b5c284fE075E27,1011896,1011905107064,0.000001011905107064,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:29:29.466Z
ComptrollerLib,0x6c17b8bA31a5c96552Ee66ef5bbe6e4a72c7d976,5167964,5168010511676,0.000005168010511676,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:29:39.991Z
BalancerV2WeightedPoolPriceFeed,0x4Ef097CBb16bf45Ff2eFEB8517eC85B26C2Fa6FE,1771959,1771974947631,0.000001771974947631,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:29:50.606Z
AaveV2ATokenListOwner,0xAB8BE6716F83CB5F1db236500E420B25dfa8c4Db,525812,525816732308,0.000000525816732308,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:30:05.649Z
ArbitraryLoanTotalNominalDeltaOracleModule,0x559006eC6f971d6CfCE332103fFaE151fC362FB2,665164,665169986476,0.000000665169986476,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:30:16.187Z
AssetValueCalculator,0x78dE9Fcf5ff2FF41fB722Dc3ff843773EeAC3Bc5,246725,246727220525,0.000000246727220525,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:30:27.051Z
ChainlinkLikeWstethPriceFeed,0x2c00037E117197e5084e77aF5bade80d2C84a900,261321,261323351889,0.000000261323351889,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:30:37.711Z
ChainlinkLikeYnEthPriceFeed,0x1240D204b2128858358DBe0F1c9566e5EF942C0c,254169,254171287521,0.000000254171287521,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:30:52.433Z
CompoundPriceFeed,0x78C5C7b94eB921D556598E2f26B1de44218000E7,559956,559961039604,0.000000559961039604,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:31:03.096Z
CompoundV3CTokenListOwner,0x45Cc40340adCc178dB945E5f91E941479F411652,583837,583842254533,0.000000583842254533,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:31:13.843Z
ConvertedQuoteAggregatorFactory,0x53e5eCE7bb9f5b609700d80be6Cd80C9f60f51Ee,739280,739286653520,0.00000073928665352,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:31:28.560Z
EnzymeVaultPriceFeed,0x317C563c5cF6a0e8D909cECE247b2AcF97Fa4ADf,370408,370411333672,0.000000370411333672,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:31:39.075Z
EnzymeV4VaultAdapter,0xf2f8df0F03c014A212D39eeCe354f8F01d44Ce77,1312534,1312545812806,0.000001312545812806,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:31:49.598Z
ERC4626Adapter,0xC9E3097fB6cF0c5611DCB5811255FE7C2798Ece5,1139788,1139798258092,0.000001139798258092,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:32:04.379Z
ERC4626PriceFeed,0x20A5fc8Ce0dEcEA8118A26FD490b369d567FcD05,301871,301871000000,0.000000301871,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:32:27.481Z
ERC4626RateAggregatorFactory,0x352C224F6cB0b38076bb331e178d76F69BB808e6,972272,972272000000,0.000000972272,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:33:16.424Z
EtherFiEthPriceFeed,0x2e8EF2afb1645E11a78fb49381BDE4390eae6437,203783,203784834047,0.000000203784834047,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:33:27.119Z
FundDataProviderRouter,0x5F551EFDc509bC64a334F9c1082AAdeA8F5b211F,346971,346971000000,0.000000346971,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:34:15.417Z
GatedRedemptionQueueSharesWrapperLib,0x5E14d37278e23cC38196d57024400ef7911E352C,5445126,5445175006134,0.000005445175006134,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:34:26.477Z
GatedRedemptionQueueSharesWrapperFactory,0xCb07B566753e7ADfBd3EBE0322d434aCd685F455,1055020,1055029495180,0.00000105502949518,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:34:41.224Z
PeggedDerivativesPriceFeed,0x17cBe5f67BCE3a964A28ccA2E10943833fdbB8bC,757245,757251815205,0.000000757251815205,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:34:51.873Z
PeggedRateDeviationAggregatorFactory,0xee21F621176D7DdA46F7935FD77a1e6c23fe0F14,962595,962604625950,0.00000096260462595,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:35:02.469Z
SharePriceThrottledAssetManagerLib,0xe85d12AEb8f47F8da4f6fd6B84A232EADEB6C03b,856945,856953569450,0.00000085695356945,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:35:17.258Z
SharePriceThrottledAssetManagerFactory,0xfCbf1DA6776d951c31DD0E05a1c0c61CFB99bF34,445820,445824458200,0.0000004458244582,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:35:27.749Z
SharesSplitterFactory,0x69F8e1fD2bC31D88DaeD3CafE940652aDA9ab851,1390859,1390872908590,0.00000139087290859,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:35:38.763Z
SingleAssetDepositQueueLib,0x208917e36D97Dc787d57473349BCD9C470dc8aa2,1943652,1943671436520,0.00000194367143652,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:35:49.284Z
SingleAssetRedemptionQueueLib,0x027f432F68A5D09D43f399A85Cd8ed6c98475501,1503141,1503156031410,0.00000150315603141,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:36:04.107Z
SingleAssetRedemptionQueueFactory,0x5965B83062B7371e69b05E8d6CBdbD0B092e7E77,460632,460636606320,0.00000046063660632,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:36:14.621Z
SmarDexUsdnNativeRateUsdAggregator,0xC54D7a77a7f05689c542dc4EA9C99adc4BeDBcd8,612726,612732127260,0.00000061273212726,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:36:29.375Z
SolvBtcYieldTokenRateUsdAggregatorFactory,0x3c281548480B79FE1177c7f1381AF4C7890DB3c7,765810,765817658100,0.0000007658176581,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:36:39.835Z
UsdEthSimulatedAggregator,0x0AD4bB06Cee782d3B7f7793E64dF1D4C26Ca73cd,142246,142247280214,0.000000142247280214,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:48:27.188Z
ThreeOneThirdAdapter,0xa9D0Ac457BBf3707f3b9Fd51FA1139d0363F1723,1869159,1869159000000,0.000001869159,SEPOLIA,11155111,sepolia-deployment,2025-10-31T11:54:39.174Z
